Cycle,BJD,Error
54072,2460242.357009,2.89e-05
54235,2460260.348007,4.4e-05
54352,2460273.261733,2.78e-05
55624,2460413.657658,2.2e-05
55859,2460439.595563,1.85e-05
56030,2460458.46954,6e-05
56103,2460466.526855,1.85e-05
56384,2460497.542001,2.31e-05
56466,2460506.59278,5e-05
56467,2460506.70304,5e-05
56468,2460506.81346,5e-05
56469,2460506.9238,5e-05
56470,2460507.03419,5e-05
56471,2460507.14462,5e-05
56472,2460507.25492,5e-05
56473,2460507.36528,5e-05
56474,2460507.47575,5e-05
56475,2460507.58604,5e-05
56476,2460507.69646,5e-05
56477,2460507.80685,5e-05
56478,2460507.91716,5e-05
56479,2460508.02764,5e-05
56480,2460508.13802,5e-05
56481,2460508.24831,5e-05
56482,2460508.35876,5e-05
56483,2460508.46906,5e-05
56484,2460508.57938,5e-05
56485,2460508.68992,5e-05
56486,2460508.80024,5e-05
56487,2460508.91064,5e-05
56488,2460509.02094,5e-05
56489,2460509.13134,5e-05
56490,2460509.24173,5e-05
56491,2460509.35207,5e-05
56492,2460509.46243,5e-05
56493,2460509.5728,5e-05
56494,2460509.68323,5e-05
56495,2460509.79348,5e-05
56496,2460509.90394,5e-05
56497,2460510.01426,5e-05
56498,2460510.12472,5e-05
56499,2460510.23508,5e-05
56500,2460510.34538,5e-05
56501,2460510.45584,5e-05
56502,2460510.56624,5e-05
56503,2460510.67654,5e-05
56504,2460510.78695,5e-05
56505,2460510.8973,5e-05
56506,2460511.00767,5e-05
56507,2460511.11802,5e-05
56508,2460511.22848,5e-05
56509,2460511.33886,5e-05
56510,2460511.44917,5e-05
56510,2460511.449152,1.62e-05
56511,2460511.55945,5e-05
56512,2460511.67,5e-05
56513,2460511.78031,5e-05
56514,2460511.89068,5e-05
56515,2460512.00104,5e-05
56516,2460512.11141,5e-05
56517,2460512.22184,5e-05
56518,2460512.33219,5e-05
56519,2460512.44259,5e-05
56520,2460512.55292,5e-05
56521,2460512.66327,5e-05
56522,2460512.77366,5e-05
56523,2460512.88402,5e-05
56524,2460512.99446,5e-05
56525,2460513.10472,5e-05
56526,2460513.21515,5e-05
56527,2460513.32554,5e-05
56530,2460513.65652,5e-05
56531,2460513.76711,5e-05
56532,2460513.87734,5e-05
56533,2460513.9877,5e-05
56534,2460514.09815,5e-05
56535,2460514.20862,6e-05
56555,2460516.415985,1.7e-05
56586,2460519.83761,5e-05
56587,2460519.94797,5e-05
56588,2460520.05835,5e-05
56589,2460520.16873,5e-05
56590,2460520.27915,5e-05
56591,2460520.38949,5e-05
56592,2460520.49991,5e-05
56593,2460520.61023,5e-05
56594,2460520.72057,5e-05
56595,2460520.83099,5e-05
56596,2460520.94136,5e-05
56597,2460521.05165,5e-05
56598,2460521.16217,5e-05
56599,2460521.27253,5e-05
56600,2460521.38284,5e-05
56601,2460521.49322,5e-05
56602,2460521.60361,5e-05
56603,2460521.71405,5e-05
56604,2460521.82431,5e-05
56605,2460521.93472,5e-05
56606,2460522.04509,5e-05
56607,2460522.15549,5e-05
56608,2460522.26583,5e-05
56609,2460522.37624,5e-05
56610,2460522.48651,5e-05
56611,2460522.59695,5e-05
56612,2460522.70738,5e-05
56613,2460522.81761,5e-05
56614,2460522.92803,5e-05
56615,2460523.03851,5e-05
56616,2460523.14887,5e-05
56617,2460523.25922,5e-05
56618,2460523.36963,5e-05
56619,2460523.4799,5e-05
56620,2460523.5903,5e-05
56621,2460523.70074,5e-05
56622,2460523.81113,5e-05
56623,2460523.92151,5e-05
56624,2460524.03189,5e-05
56625,2460524.14216,5e-05
56626,2460524.25259,5e-05
56627,2460524.36293,5e-05
56628,2460524.47329,5e-05
56629,2460524.58376,5e-05
56630,2460524.69412,5e-05
56631,2460524.80451,5e-05
56632,2460524.91477,5e-05
56633,2460525.02521,5e-05
56634,2460525.13555,5e-05
56635,2460525.24591,5e-05
56636,2460525.35638,5e-05
56637,2460525.46667,5e-05
56638,2460525.57709,5e-05
56639,2460525.68743,5e-05
56640,2460525.79778,5e-05
56641,2460525.90821,5e-05
56642,2460526.01856,5e-05
56645,2460526.34965,5e-05
56646,2460526.46017,5e-05
56647,2460526.57047,5e-05
56648,2460526.68075,5e-05
56649,2460526.79114,5e-05
56650,2460526.90161,5e-05
56651,2460527.01196,5e-05
56652,2460527.12237,5e-05
56653,2460527.23266,5e-05
56654,2460527.34306,5e-05
56655,2460527.45337,5e-05
56656,2460527.56372,5e-05
56657,2460527.67417,5e-05
56658,2460527.78455,5e-05
56659,2460527.89494,5e-05
56660,2460528.00525,5e-05
56661,2460528.11575,5e-05
56662,2460528.22607,5e-05
56663,2460528.33647,5e-05
56664,2460528.4469,5e-05
56665,2460528.55713,5e-05
56666,2460528.66762,5e-05
56667,2460528.7779,5e-05
56668,2460528.88832,5e-05
56669,2460528.99866,5e-05
56670,2460529.10913,5e-05
56671,2460529.2194,5e-05
56672,2460529.32973,5e-05
56673,2460529.44016,5e-05
56674,2460529.55055,5e-05
56675,2460529.66107,5e-05
56677,2460529.88158,5e-05
56678,2460529.99213,5e-05
56679,2460530.10243,6e-05
56682,2460530.43319,inf
56683,2460530.54282,inf
56699,2460532.30987,8e-05
56700,2460532.42026,5e-05
56701,2460532.53055,5e-05
56702,2460532.64095,5e-05
56703,2460532.75134,5e-05
56704,2460532.8618,5e-05
56705,2460532.97217,5e-05
56706,2460533.08255,5e-05
56881,2460552.397982,1.96e-05
56882,2460552.508374,1.96e-05
56981,2460563.435372,2.66e-05
57107,2460577.342526,2.31e-05
57108,2460577.452901,1.62e-05
57207,2460588.379911,2.31e-05
57361,2460605.377594,1.27e-05
57578,2460629.328773,5.2e-05
57632,2460635.288908,4.71e-05
57650,2460637.275658,5.2e-05
57659,2460638.26906,1.15e-05
57677,2460640.255753,1.96e-05
57777,2460651.293229,3.47e-05
58997,2460785.949556,4.63e-05
59006,2460786.942952,3.47e-05
59166,2460804.602807,2.31e-05
59519,2460843.564805,3.01e-05
59636,2460856.478592,1.85e-05
