EclipseNumber,BJD,Error
73650,2458867.1386760194,0.0001039236769189
73650,2458867.2340487526,9.34532027897e-05
73652,2458867.3299646154,0.0001174875533558
73654,2458867.616668517,0.0001041664758732
73654,2458867.5210588896,0.000103591102801
73656,2458867.712349688,0.0001133104631868
73656,2458867.807912804,0.0001029886773809
73658,2458867.903720472,0.0001340791211964
73659,2458867.999407948,0.0001300822379293
73660,2458868.190461257,0.0001526860212679
73660,2458868.094933781,0.000120721601682
73662,2458868.2863481184,0.0001150532201428
73662,2458868.3816687553,0.000114695922474
73663,2458868.477413693,0.0001522768215579
73665,2458868.573422584,0.000161467954306
73665,2458868.668767517,0.0001064921999876
73929,2458893.82398,0.00011
74112,2458911.32735,5e-05
74322,2458931.4131,7e-05
74542,2458952.45547,4e-05
74793,2458976.46276,6e-05
74890,2458985.74066,0.00017
74911,2458987.74896,6e-05
74984,2458994.73099,8e-05
75065,2459002.47845,0.00011
75755,2459068.47492,7e-05
75756,2459068.57053,0.0001
76153,2459106.54234,8e-05
76324,2459122.89784,5e-05
76366,2459126.91491,6e-05
76376,2459127.8714,6e-05
76387,2459128.92344,7e-05
76397,2459129.88002,6e-05
76418,2459131.88864,5e-05
76424,2459132.46253,0.00011
76428,2459132.84512,5e-05
76439,2459133.89723,4e-05
76449,2459134.85363,6e-05
76470,2459136.86217,5e-05
76491,2459138.87083,7e-05
76501,2459139.82732,8e-05
76512,2459140.8794,6e-05
76522,2459141.83589,5e-05
76533,2459142.88799,6e-05
76559,2459145.37481,4e-05
76695,2459158.38283,7e-05
76903,2459178.27745,9e-05
77091,2459196.25887,6e-05
77092,2459196.35456,3e-05
77092,2459196.35453,3e-05
77354,2459221.41396,3e-05
77531,2459238.34355,8e-05
77531,2459238.34352,9e-05
77740,2459258.33361,4e-05
77803,2459264.35934,3e-05
77970,2459280.33233,3e-05
78138,2459296.40094,8e-05
78369,2459318.49543,8e-05
78849,2459364.40578,8e-05
79760,2459451.53985,5e-05
79854,2459460.53072,6e-05
80083,2459482.43386,2e-05
80208,2459494.3897,2e-05
80365,2459509.40616,8e-05
80699,2459541.35223,4e-05
81002,2459570.33321,8e-05
81102,2459579.898489541,0.0002896931222103
81103,2459579.993596013,0.0003364538308503
81103,2459580.088874222,0.0003738519993697
81104,2459580.184555612,0.0001944036526293
81106,2459580.280567377,0.000235927994267
81106,2459580.3759681536,0.0002040381716275
81107,2459580.471402445,0.0002390201080187
81109,2459580.6628408353,0.0002034310232714
81109,2459580.5676148203,0.000202408159784
81111,2459580.759042962,0.0001323252390254
81112,2459580.85432702,0.000165804194489
81113,2459580.949945531,0.000104276389462
81114,2459581.0456347642,0.0002017958047999
81115,2459581.141277594,0.000165856004802
81116,2459581.236957029,0.0001417304917247
81117,2459581.332657046,0.000150316938725
81118,2459581.428189765,0.000122105870983
81119,2459581.523858488,0.0001238405654238
81119,2459581.619379527,0.0001173766760195
81120,2459581.715063221,0.0001171996044261
81121,2459581.810647292,0.0001079745753215
81123,2459581.9064019006,0.0001513290304103
81123,2459582.0018485365,0.0001079445574103
81125,2459582.097776022,0.0001204965132913
